"RT @timesofindia: Nepal flood toll hits 101, fears of disease rise http://t.co/sgobu7cYpv http://t.co/yj9dao3ssS",A
"Deadly monsoon hits India, Nepal: Dozens of people have been killed in flooding in northern and eastern India,... http://t.co/ZD6a96HdzL",NA
Many dead in Nepal and India floods: At least 160 people are reported to have been killed in floods and landsl... http://t.co/tnQ9cSiO2c,NA
"RT @ndtv: Flood fury in North India: dozens killed, lakhs affected http://t.co/qKpL8sYnUV",NA
"Flood Fury in North India: Dozens Killed, Lakhs Affected Read Story: http://t.co/gASE5SMgJ6",NA
"Monsoon kills hundreds in India, Nepal: Dozens of people have been killed in flooding in northern and eastern ... http://t.co/uvRySsItEJ",NA
"Landslides, Flooding Kill 109 In Nepal, Northern India: The death toll from landslides and flooding triggered ... http://t.co/1OcSr2xG4S",NA
"Latest : Uttar Pradesh floods: 28 killed, 1500 villages affected - Livemint: The HinduUttar Prades... http://t.co/WWKhuZdciz #IndianNews",NA
"#News: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away straw huts: Authori... http://t.co/FQ8TrCxjRi #TU",NA
"""Scores Killed in Flooding in Nepal and India"" by BHADRA SHARMA and NIDA NAJAR via NYT The New York Times http://t.co/DWOhWxrtw0",NA
Many dead in Nepal and India floods http://t.co/R4C6ORZg68,NA
"Latest : UP floods kill 28, Centre calls it 'unprecedented' - Times of India: Indian ExpressUP flo... http://t.co/gi1ZOkDlzJ #IndianNews",NA
"Nepal, India floods kill nearly 200 http://t.co/RIun2hEruj #civil_vision",A
"RT @infonaija: Landslides, Flooding Kill 109 In Nepal, Northern India - The death toll from landslides and flooding triggered by ... http:/‰Û_",A
"RT @timesofindia: Flood situation in Assam grim, toll rises to 3 http://t.co/b2dfOiBWEt‰Û_",A
"Flood Fury in North India: Dozens Killed, Lakhs Affected",NA
"#SuryaRay @Akansha_Gautam Flood Fury in North India: Dozens Killed, Lakhs Affected http://t.co/KheGlBfGOd #India #Indian @SuryaRay",NA
Many dead in Nepal and India floods: At least 160 people are reported to have been killed i... http://t.co/KtGQV1ZmkR via @DudleyFreedom,NA
Flood death toll mounts in India and Nepal http://t.co/XJwMLel2VI,NA
"RT @cnnbrk: Officials: Dozens killed in flooding in northern and eastern India, while death toll in Nepal has passed 100. http://t.co/BD10V‰Û_",NA
"180 dead in Nepal, India floods, thousands displaced http://t.co/KWwjtogQ4r",NA
"4 Killed After Collision Between Train, Autorickshaw in Bihar http://t.co/3Q9OrqDz3m #India #news",NA
"#news 180 dead as floods wash away homes in Nepal, India http://t.co/8Gaf2Wek33 http://t.co/6Si3P3zzT5",NA
"Nepal, India floods leave nearly 200 dead, scores missing http://t.co/BUTBbVK2Rj",A
"#CNN Deadly monsoon hits India, Nepal: Dozens of people have been killed in flooding in northe... http://t.co/zZcljSg7su #TeamFollowBack",NA
"RT @AP: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away straw huts: http://t.co/swMK102H5H",NA
"Odisha floods kill 45, leave 300,000 villagers marooned ... - http://t.co/uHs3wu7kDB #NewsInTweetsIndia",A
"Latest : UP floods: Rapti water level touches new high; 28 killed, 17000 homeless - Hindustan Time... http://t.co/nMpX78ksLE #IndianNews",NA
"RT @stew_ilondanga: #TheWorldNeedsMore Hundreds dead as monsoon hits India, Nepal:        http://t.co/VY84xIi3oJ #News",NA
Nepal and India floods leave many dead - BBC News: BBC NewsNepal and India floods leave many deadBBC NewsAt le... http://t.co/MZvEpSkNd7,NA
"[News Update] | 24 Killed, Including 7 In Their Sleep As Landslide Hit India http://t.co/YH5er5jWY4 |Via Information Ng",NA
"#india Flood Fury in North India: Dozens Killed, Lakhs Affected: Heavy monsoon rains have created flood havoc in... http://t.co/D5qSAkR1ET",NA
"24 Killed, Including 7 In Their Sleep As Landslide Hit India: Heavy downpours in India triggered landslides an... http://t.co/12FaPjrR6r",NA
RT @BBCIndia: Many dead in Nepal and India floods http://t.co/bUuCla1Ogl,NA
#usa &gt;&gt; http://t.co/a076zwBmYF Many dead in Nepal and India floods http://t.co/Izi6kpaTz6 #usa &gt;&gt; http://t.co/a076zwBmYF,NA
RT @nytimes: Scores Killed in Flooding in Nepal and India http://t.co/Ld58BYyvnM,NA
"Hundreds dead as monsoon hits India, Nepal http://t.co/wvPoibxJIH #world #news #last",NA
RT @Aghorii2: #RapeJihad in UP continues. #FaizabadGangRape 17 year old Hindu girl Gang Raped and killed @HDLindiaOrg http://t.co/BL6vGoXj28,NA
RT @BBCWorld: At least 160 people reported killed in Nepal &amp; India floods after days of torrential rain http://t.co/FG81GXktNV http://t.co/‰Û_,A
"#India #monsoon 85 or more dead, thousands stranded - travel and tourism in Nepal comes... http://t.co/O5A5kmBpp1 http://t.co/lcX8t7rOmQ",A
"Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughly 17,000 vill... http://t.co/yAHPu2Om0Y",A
"85 killed, 139 missing in Nepal landslide, floods ‰ÛÒ Times ofåÊIndia http://t.co/s0a2ZExUQU",A
"RT @timesofindia: Twelve die in Bihar flood, 4 lakh hit http://t.co/0g5t9TvSAl",NA
"Flood Fury in North India: Dozens Killed, Lakhs Affected - NDTV: NDTVFlood Fury in North India: Dozens Killed,... http://t.co/9ykUuyx1xE",NA
"180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths, maroon... http://t.co/lJSqGaKcly",NA
Death toll in India landslides rises to 109: The death toll from landslides and flooding triggered by torrenti... http://t.co/7awFh8wK3e,A
"RT @AFPSouthAsia: Landslides, floods kill 109, displace thousands in #Nepal, #India http://t.co/IKIDXQ1Y3X via @YahooNews",A
"RT @JoanieGentian: RT @ruisaldanha: @AP Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away straw huts: http://‰Û_",NA
"Latest : Odisha floods: Death toll reaches 40, over 35 lakh affected - Zee News: The HinduOdisha f... http://t.co/GgNewHjGYu #IndianNews",A
"Hundreds dead as monsoon hits India, Nepal http://t.co/CUeOgbONAP",NA
Floods hit India's Uttar Pradesh Sugarcane crop under high risk http://t.co/DgS0nUUN9A,NA
"Rain fury in North India, 10 killed in UP:  In Uttar Pradesh, 10 people have been killed and around 600 villag... http://t.co/DqD5O1rAFL",NA
"Me: Monsoon: Dozens of people have been killed in flooding in northern and eastern India, while the death toll in Nepal has passed 10...",NA
Nepal and India floods leave many dead http://t.co/oWDtCOQL7Q,NA
http://t.co/zahylyinlN Many dead in Nepal and India floods http://t.co/dmZLslxiNX &gt;&gt;&gt;&gt; http://t.co/zahylyinlN,NA
RT @bbcweather: Reports say at least 160 have died in floods across Nepal and N India.  http://t.co/S3ErKhXwuK  And there's more rain to co‰Û_,NA
"RT @IndianExpress: Nepal flood toll hits 101, fears of disease rise. http://t.co/egxB4J3lxA http://t.co/14rytTDOtV",A
&gt;&gt;&gt;&gt; http://t.co/PxAufLmAY8 Many dead in Nepal and India floods http://t.co/3l6QPWZWlG &gt;&gt;&gt;&gt; http://t.co/PxAufLmAY8,NA
"180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away s...",NA
"#Nepal | Death toll rises after Nepal flooding, landslides - &amp;#8230;  plains bordering India.         Chief of Nep... http://t.co/jSRQzb1EqD",A
"RT @PrakaashGurjar: Nepal: Floods, landslides kill 240 people, India announces relief fund of NRs 48 million http://t.co/YKAPOE71GT",NA
"UP floods kill 28, Centre calls it 'unprecedented': Flood fury continued unabated in Uttar P... http://t.co/cSiTHAoAhd via @timesofindia",A
Nepal and India begin relief efforts as monsoon floods claim at least 180 lives: Helicopters carrying supplies... http://t.co/5Mj5IvdDwc,NA
"Latest : Rain fury in North India, 10 killed in UP, flood alert in Bihar - IBNLive: IBNLiveRain fu... http://t.co/X3ZWz9m2Y0 #IndianNews",A
"Landslides, Flooding Kill 109 In Nepal, Northern India http://t.co/RsbOaoLMnk",NA
#NaturalDisasters Many dead in Nepal and India floods: ‰Û_  to have been killed in floods and landslides followi...  http://t.co/Xwwr4mwTw4,NA
"India: Floods in Uttar Pradesh destroy houses, kill 28 http://t.co/ChYTzHcJNO",NA
"Hundreds dead as monsoon brings chaos to northern India, Nepal http://t.co/1Oa6v1DwBm",NA
RT @bbcworldservice: Floods and landslides kill at least 160 after torrential rain in Nepal and northern India  http://t.co/JYpYmZaE2B http‰Û_,NA
RT @no2persecution: Flood death toll mounts in India and Nepal  http://t.co/y8uxUNJdb4 via @AjEnglish,A
"Flood alert in Jaipur, nearby cities in Rajasthan; many villages remain cut off in ‰Û_ ‰ÛÒ IBNLiveåÊ#India http://t.co/8VAiJ96pvO",A
Nepal / India - Travel News - 161 killed by floods and landslides in Nepal and northern India #Nepal #India #travel #floods #landslides,NA
"RT @IndianExpress: NEWS FLASH: Four killed in train-auto collision in Bihar, NDTV reports",NA
"‰ÛÏ@timesofindia: 12 die in Bihar flood, 4 lakh hit http://t.co/vzZaiaqEkG‰Û Q. What have we done since last flood to prevent such devastation?",NA
BBC News UK Many dead in Nepal and India floods: At least 160 people are reported to have been killed in flood... http://t.co/KvLUz8e3HY,NA
"Hundreds dead as monsoon hits India, Nepal http://t.co/iTjlBeVBqC http://t.co/8F2zjKI63f #india #asia",NA
http://t.co/OZzuh6H5Cn First flood alert issued as Mettur Dam l @INSubcontinent #INSubcontinent #India http://t.co/vbZqGJGxUy,A
#India - Center upgrades level of flood alert for eastern UP$ #Monsoon http://t.co/2jYuDOG9tC,NA
"Deaths Climb From India, Nepal Floods http://t.co/0zvgsGYE5H http://t.co/8F2zjKI63f #india #asia",A
"#Indian #India Flood Fury in North India: Dozens Killed, Lakhs Affected: Heavy monsoon rains... http://t.co/KBr3uXJWcR #SuryaRay @SuryaRay",A
"Last year we brought a dead body from Lebanon to India. A lot of ppl are taken from India, Nepal, Thailand &amp; trafficked to MENA #GWF_Egypt",NA
"RT @bijay64: CM Naveen Patnaik reviews flood situation, directs officials to immediately repair breaches on embankments @Odisha @NewIndianX‰Û_",NA
"#ndtv Flood Fury in North India: Dozens Killed, Lakhs Affected: Heavy monsoon rains have created flood havoc i... http://t.co/UJGomEzyZP",NA
RT @guardian: Nepal and India begin relief efforts as monsoon floods claim at least 180 lives http://t.co/QNiEgXmEro,NA
Landslides and floods in Nepal and India kill 109 - The Age http://t.co/h6fAjHg4vV,NA
RT @ChiAB2486: Death toll from 3 days of flooding and torrential rain in Nepal and India rises  http://t.co/YwWopBc0Rm,A
"Latest : Odisha: Over 3 lakh affected due to floods, government deploys medical teams - IBNLive: I... http://t.co/bUxc7a0QZs #IndianNews",NA
"Flood fury in Uttarakhand, Uttar Pradesh, Bihar, Assam; lakhs displaced http://t.co/q4r5FG1hjj.. #india",A
"#flood #disaster Odisha floods kill 45, leave 300000 villagers marooned - Reuters India: Reuters IndiaOdisha f... http://t.co/aRLK9ClqQS",A
Nepal and India begin relief efforts as monsoon floods claim at least 180 lives http://t.co/uhApRcQ52T Network Front | The Guardian Hel...,NA
"RT @NWSIndianapolis: Numerous T-storms through Monday PM, flooding possible due to slow storm motion. Turn around don't drown! #inwx #n htt‰Û_",A
"@meninoroxo Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughly... http://t.co/lynVmrLCGm",NA
Bangkok Post : Floods kill 45 in eastern India: NEW DELHI - Flooding in eastern India has killed 45 people and... http://t.co/JsRmI1oDe9,A
"""@timesofindia: Flood situation in Assam grim, toll rises to 3 http://t.co/d66YkDS8bI‰Û_""",A
Dozens killed as monsoon floods ravage India and Nepal http://t.co/Ig8P3MdA4X http://t.co/8F2zjKI63f #india #asia,NA
"India - Widespread flooding across several stated, scores killed &amp; missing http://t.co/RfxEZ4zblx",NA
"RT @TheWatchers_: India's monsoon rains are changing - Heavy rain and extreme floods devastate Odisha, India (again) http://t.co/wQNyzrQIVu",A
Latest : Bihar: 21 of a family killed as train hits auto - Hindustan Times: Times of IndiaBihar: 2... http://t.co/MVw8xyPCQT #IndianNews,NA
Many dead in Nepal and India floods: At least 160 people are reported to have been killed ... http://t.co/TwPOsbaYqo #Follow #FOLLOWBACK,NA
"World #India #Brahmaputra_River #Communist_Party_of_Nepal_Maoist 180 Dead As Floods Wash Away Homes in Nepal, India http://t.co/CSkmH3lTre",NA
#Akansha_Gautam #India #Indian VIDEO: Woman survives flash flood but reports surface... http://t.co/4E327V9zkq #SuryaRay  #Sharma__Shekhar,NA
"Deadly monsoon hits India, Nepal http://t.co/DjSbmosCDQ",A
"RT @BopsieChroedar: Top India Stories From WSJ: Nepal Floods, Landslides Kill At Least 54  via @josephjett #India http://t.co/aIKXxHOQGF",NA
"RT @anushesh_sharma: :( ""@timesofindia Twelve die in Bihar flood, 4 lakh hit http://t.co/1g58An2yj1"" @ASHOK_CHOUDHRY",NA
RT @timesofindia: At least 9 killed as Rapti Ganga Express rams autorickshaw in Bihar http://t.co/1w2JmeR1uw,NA
