".@govph issues rainfall advisories, alerts for possible evacuation as #Hagupit moves across Philippines http://t.co/HEed42Efxh",NA
".@kuminaidoo bears witness in Laiya, Batangas. #Hagupit is expected to landfall here 6pm tonight. #COP20 http://t.co/5A9WwgxBLB",A
"""@ABSCBNNews: 'Ruby' moves faster; Signal No. 2 in Manila by Monday http://t.co/6yLuCYgRf6 I via @dost_pagasa"" - Keep safe everyone #RubyPH",A
"""@CallanMcAuliffe: I hope all you fruitloops in the Philippines are preparing for typhoon #Hagupit #RubyPH stay safe!""",NA
"""@DepEd_PH: Please be prepared and take precautionary measures. Stay safe, everyone! #RubyPH http://t.co/xXfFgEeLhQ""",NA
"""@philredcross: Typhoon Ruby will make six landfalls from today to Monday. Please visit PRC's social media accounts for updates.  #RubyPH""",A
"""@UST_CSC: PAGASA says strongest effect of #RubyPH will be felt in Metro Manila between 8 - 10 p.m. tomorrow, Monday -@ABSCBNNews""",A
[New Y. Times. EUA] Death Toll From Typhoon Hagupit Rises in Philippines: The number killed by th... http://t.co/F3RLv069xz vÃ­a J.A.M.V,NA
"[News5] At least 27 dead, says Red Cross, as Hagupit weakens into a tropical depression http://t.co/a67WDZyDrH",NA
[News5] Hagupit expected to enter PH early Thursday; 44 areas put on 'critical' alert http://t.co/OJjLF6GRbf,A
[PTVph] ICYMI l l Official death toll from #RubyPH rose to 8 http://t.co/RsrJNDWy8p,NA
@BeboMundial Two die as storm lashes Philippines: Two people are reportedly killed by the typhoon pounding the Philippin...  @BeboMundial,NA
@dost_pagasa #RubyPH is expected to hit Calapan City on Monday. Does it mean we will experience the super strong winds as well???,NA
"@ohiwasnevergone ,jha r u okay ?RT @BBCNewsAsia: VIDEO: Powerful typhoon nears Philippines http://t.co/GKufses1PE",NA
"@PhilipDuncan TS #Hagupit is right smack over the top of us now... Yes, it's been torrential... Those red bits lol http://t.co/09Uj0RKGnS",NA
"@theterrorific Typhoon#Hagupit downgraded tropical storm as it approaches Philippine capital http://t.co/RBWxoBiCqP http://t.co/eJfxDJikYm""",NA
@TVPatrol  this&gt; KABAYAN. @kuyakim said 40% chance landfall despite ur correction last night  http://t.co/wuEDR25T3X,NA
#android #LG Second super typhoon in a year expected to devastate Philippines city -â€¦ http://t.co/lJ2ljjkUVP http://t.co/SzpifSLC8H #...,NA
"#Hagupit #RubyPH With the partial report released by the MDRRMC as of 4pm today, approximately  405 individuals... http://t.co/lsxsn26NFJ",NA
#Hagupit a Haiyan-like threat to the Philippines. http://t.co/yikjjZn2T2 http://t.co/6Fl4HJGwKZ, NA
"#Hagupit's rains have left and the sun's out, but sprawling fields will be flooded for days @AJEnglish @AJElive http://t.co/mxFOjMbHdy",NA
#Iphone Typhoon Hagupit threatens flooding and landslide misery  http://t.co/Gybll0Z2xW,NA
#ireland Two dead as Typhoon Hagupit lashes Philippines  http://t.co/BYrHjI7rlY,NA
#LeadCouture Typhoon Hagupit: at least three dead and a million evacuated in Philippines: Category 3 Hagupit â€“... http://t.co/SY2qSBYCPK,NA
#RubyPH  signal no. 3 cavite á½¢BKeep safe everyone,A
"#RubyPH expected to make landfall in Dolores, Eastern Samar in minutes. #9newsph http://t.co/unIB80ZzID",A
#RubyPH is expected to make landfall tonight or Sunday morning over Eastern-Northern Samar area. @PanahonTV @PTVph,A
#RubyPH is trending. Whut.  Stay safe guys.,NA
#RubyPH lowered to a tropical depression. Metro Manila still in Signal #1. Stay safe! A rainy Tuesday ahead.,NA
"#RubyPH Update: 1AM today 07Dec.2014, Typhoon RUBY was located at 120km Southeast of Catarman, Northern Samar or... http://t.co/Z4YeH1kS1R",A
#RubyPH weakens but leaves 21 dead http://t.co/zim2SPb0Rr | @AP http://t.co/g9y3AIDcRF,NA
#RubyPH weakens but still dangerous: PAGASA http://t.co/g2Vrxqc6wx,NA
"#SafeNow - Ceferina Sunga, 30, last known to be in Taft, Eastern Samar. Contact details: 09288312029, 09064453846. #RubyPH #MovePH #RescuePH",A
â€œ@DawnZpost: Landfall threat is getting real. Hope our kababayans along the areas prepare well. #Hagupit #typhoon http://t.co/EBzGTfERNSâ€,A
"â€˜Hagupitâ€™ intensifies into a typhoon, to enter PAR Thursday | Sun.Star: http://t.co/KgjOtsHXfF via @sunstaronline",A
21 Dead As Hagupit Hits Philippines; Storm's Impact Less Severe Than Expected: At least 21 people are dead and... http://t.co/j66Bny9Vpm,NA
21 Dead: Hagupit weakens as it nears Philippine capital Manila http://t.co/mns5IFvZ04,NA
24hr operations at work starting tonight... blames Typhoon Hagupit... &gt;.&gt;,NA
"3 dead, 900000 evacuate as typhoon slams Philippines - Fox News: Fox News3 dead, 900000 evacuate as typhoon sl... http://t.co/Hc3mD1Rfck",NA
"3 dead, 900K evacuate as typhoon slams Philippines http://t.co/5FvkqSUQd8",NA
"3 deaths, injuries reported as Typhoon Hagupit floods parts of the Philippines http://t.co/BMsb4qejAp",NA
6 Qâ€™s About the News | Typhoon Hagupit Hits the Philippines http://t.co/oeYxiX8zdo #edchat #digln,NA
75 pct chance 'Hagupit' to hit Eastern Samar: PAGASA http://t.co/Qyw3L845ST,A
ALERT: Typhoon #RubyPH #Hagupit has entered the Philippine Area of Responsibility. #BePreparedPH,A
Another super typhoon Category 5 Hagupit (Ruby) heading for Philippines.Winds over 285km p/hr.Glad to live here. http://t.co/rL7sDTKETr,A
"As of 11 am today, signal no. 3 issued over Northern Samar, Eastern Samar, Samar, Biliran, Catanduanes, Albay, Sorsogon, Masbate. #RubyPH",A
"As of 5 pm, storm signals are up in 29 provinces due to #RubyPH. On what these signals mean: http://t.co/vqOGcAd3bM http://t.co/P7homMt250",A
"As Typhoon Hagupit (locally known as Ruby), inches closer to the Phiippines, community leaders like Mayor... http://t.co/8ikOC2wUTy",NA
At least 21 dead after typhoon batters Philippines: Typhoon Hagupit weakened into a tropical storm ... http://t.co/7jZtCw8bIG .@USATODAY,NA
"Bangko Sentral suspends clearing operations today, December 8, due to #RubyPH @9newsph http://t.co/YHsNFBHtS2",NA
"Batangas is still experiencing rains. From orange alert level, the rainfall warning has been lowered to yellow.  #RubyPH",NA
Be informed always. . . #RubyPH http://t.co/u1x521x0Is,NA
Be safe guyss! Stay indoors   #RubyPH,NA
Bed weather.. Stay dry everyone! :* #RubyPH,NA
Beware the storm's fury next time: The images of the typhoon zone in the Philippines should be all the reminde... http://t.co/T0iKca14vm,NA
"Brace yourself for #RubyPH arrival in Metro Manila. Charge all gadgets, ready emergency kits! Stay safe!á½¤Fá½¤F http://t.co/RtWwsQEZ9u",NA
Deaths mount as typhoon churns over Philippines http://t.co/02XPmQwLyE Bing News Top,NA
DFA suspends consular operations today due to Typhoon #RubyPH #Hagupit | via @dfaspokesperson,NA
"DILG Sec Roxas: #RubyPH is moving faster. It will hit land in Dolores, Eastern Samar 11 pm Saturday | @miguelortilla",A
"Dir Raffy Alejandro, OCD 5: Currently no reported casualties from the Bicol Region. #RubyPH @rapplerdotcom",NA
"DZMM's @RADYOPATROL39: Baywalk, Manila experiencing strong winds ahead of #RubyPH landfall, some people still in area despite conditions.",A
Facing a typhoon is much scarier when you're alone. á½¢D I should've gone home. á½¢Dá½£0 #RubyPH,NA
"FLIGHT ADVISORY: Due to super typhoon #RUBY (international name: #HAGUPIT), some flights have been cancelled.... http://t.co/NFCtx2fJAP",NA
Flood Alert. #Manila #RubyPH #Hagupit http://t.co/ic3nZE4XAE,A
For safety tips #RubyPh á½¤Fá½¤Fá½¤Fá½¤F #Repost smartcares ãƒ»ãƒ»ãƒ» A few safety tips for #RubyPH. Be prepared andâ€¦ http://t.co/Xl6ySbzfo8,NA
Four Killed As Typhoon Slams Into Philippines http://t.co/HNQAosCVdx,NA
Fuck. There's a super typhoon about to hit the Philippines with sustained winds of 175 mph. Gusts to 220 mph.,A
FULL STORY: Waning #RubyPH makes 4th landfall; 21 dead http://t.co/QYHAn1zuyk,NA
Go home early. And stay safe everyone. #RubyPH,NA
Good Evening á½ 4  Stay safe everyone!  #RubyPH ï¿½?ï¿½?ï¿½? http://t.co/MSqYpyjHQo,NA
"Hagupit Barreling Through the Philippines, Killing 24 - http://t.co/uVhaa35Ujd http://t.co/pKWPvPp8Bg #Typhoon",NA
